title,release_date,libsyn_page,download_link
"#105: March 18, 2014","Nov 22, 2017",https://knowledgefight.libsyn.com/knowledge-fight-march-18-2014,https://traffic.libsyn.com/secure/knowledgefight/3-18-14.mp3
#106: Drunk Special Report,"Nov 27, 2017",https://knowledgefight.libsyn.com/knowledge-fight-drunk-special-report,https://traffic.libsyn.com/secure/knowledgefight/SpReportA.mp3
"#107: December 12, 2014","Nov 29, 2017",https://knowledgefight.libsyn.com/knowledge-fight-dec-12-2014,https://traffic.libsyn.com/secure/knowledgefight/12-12-14.mp3
"#108: November 30, 2017","Dec 1, 2017",https://knowledgefight.libsyn.com/knowledge-fight-nov-30-2017,https://traffic.libsyn.com/secure/knowledgefight/11-30-17.mp3
"#109: December 4, 2017","Dec 5, 2017",https://knowledgefight.libsyn.com/knowledge-fight-dec-4-2017,https://traffic.libsyn.com/secure/knowledgefight/12-4-17.mp3
"#110: December 5, 2017","Dec 7, 2017",https://knowledgefight.libsyn.com/knowledge-fight-dec-5-2017,https://traffic.libsyn.com/secure/knowledgefight/12-5-17.mp3
"#111: January 21-22, 2016","Dec 11, 2017",https://knowledgefight.libsyn.com/knowledge-fight-jan-21-22-2016,https://traffic.libsyn.com/secure/knowledgefight/1-22-16.mp3
"#112: December 15, 2017","Dec 19, 2017",https://knowledgefight.libsyn.com/knowledge-fight-december-15-2017,https://traffic.libsyn.com/secure/knowledgefight/12-1517.mp3
"#113: February 21-23, 2014","Dec 22, 2017",https://knowledgefight.libsyn.com/knowledge-fight-feb-21-23-2014,https://traffic.libsyn.com/secure/knowledgefight/Feb23-14.mp3
#114: Piers Morgan Interview,"Dec 31, 2017",https://knowledgefight.libsyn.com/knowledge-fight-piers-morgan-interview,https://traffic.libsyn.com/secure/knowledgefight/PiersEpisode.mp3
"#115: January 2, 2018","Jan 3, 2018",https://knowledgefight.libsyn.com/knowledge-fight-jan-2-2018,https://traffic.libsyn.com/secure/knowledgefight/1-2-18.mp3
"#116: January 5, 2018","Jan 8, 2018",https://knowledgefight.libsyn.com/knowledge-fight-january-5-2018,https://traffic.libsyn.com/secure/knowledgefight/1-5-18.mp3
"#117: January 8, 2018","Jan 9, 2018",https://knowledgefight.libsyn.com/knowledge-fight-jan-8-2018,https://traffic.libsyn.com/secure/knowledgefight/1-8-18.mp3
"#118: January 10-11, 2018","Jan 12, 2018",https://knowledgefight.libsyn.com/knowledge-fight-jan-10-11-2018,https://traffic.libsyn.com/secure/knowledgefight/1-10-18.mp3
"#119: August 16, 2012","Jan 15, 2018",https://knowledgefight.libsyn.com/knowledge-fight-aug-16-2012,https://traffic.libsyn.com/secure/knowledgefight/8-16-12.mp3
"#120: January 27, 2016","Jan 17, 2018",https://knowledgefight.libsyn.com/knowledge-fight-jan-27-2016,https://traffic.libsyn.com/secure/knowledgefight/1-27-16.mp3
"#121: April 1-2, 2013","Jan 23, 2018",https://knowledgefight.libsyn.com/knowledge-fight-april-1-2-2013,https://traffic.libsyn.com/secure/knowledgefight/4-1-13.mp3
"#122 LIVE: March 1-2, 2012","Jan 24, 2018",https://knowledgefight.libsyn.com/knowledge-fight-live-march-1-2-2012,https://traffic.libsyn.com/secure/knowledgefight/3-1-12.mp3
"#123: March 18, 2008","Jan 26, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-18-2008,https://traffic.libsyn.com/secure/knowledgefight/3-18-08.mp3
"#124: March 23, 2008","Jan 29, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-23-2008,https://traffic.libsyn.com/secure/knowledgefight/3-23-08.mp3
#125: Project Camelot's War In Heaven,"Jan 31, 2018",https://knowledgefight.libsyn.com/knowledge-fight-project-camelots-war-in-heaven,https://traffic.libsyn.com/secure/knowledgefight/CourtneyBrown.mp3
"#126: February 2, 2018 (Special Report)","Feb 5, 2018",https://knowledgefight.libsyn.com/knowledge-fight-feb-2-2018-special-report,https://traffic.libsyn.com/secure/knowledgefight/2-2-18.mp3
"#127: February 8, 2018","Feb 9, 2018",https://knowledgefight.libsyn.com/knowledge-fight-feb-8-2018,https://traffic.libsyn.com/secure/knowledgefight/2-8-18.mp3
